chord, notes
A
A7
Am
Am7
Asus2
Asus4
Aadd9
A7sus2
A7sus4
A#
A#7
A#m
A#m7
A#sus2
A#sus4
A#add9
A#7sus2
A#7sus4
Ab
Ab7
Abm
Abm7
Absus2
Absus4
Abadd9
Ab7sus2
Ab7sus4
B
B7
Bm
Bm7
Bsus2
Bsus4
Badd9
B7sus2
B7sus4
Bb
Bb7
Bbm
Bbm7
Bbsus2
Bbsus4
Bbadd9
Bb7sus2
Bb7sus4
C
C7
Cm
Cm7
Csus2
Csus4
Cadd9
C7sus2
C7sus4
C#
C#7
C#m
C#m7
C#sus2
C#sus4
C#add9
C#7sus2
C#7sus4
D
D7
Dm
Dm7
Dsus2
Dsus4
Dadd9
D7sus2
D7sus4
D#
D#7
D#m
D#m7
D#sus2
D#sus4
D#add9
D#7sus2
D#7sus4
Db
Db7
Dbm
Dbm7
Dbsus2
Dbsus4
Dbadd9
Db7sus2
Db7sus4
E
E5
E6
E7
Em
Em7
Esus2
Esus4
Eadd9
E7sus2
E7sus4
Eb
Eb5
Eb6
Eb7
Ebm
Ebm7
Ebsus2
Ebsus4
Ebadd9
Eb7sus2
Eb7sus4
F
F5
F6
F7
Fm
Fm7
Fsus2
Fsus4
Fadd9
F7sus2
F7sus4
F#
F#7
F#m
F#m7
F#sus2
F#sus4
F#add9
F#7sus2
F#7sus4
G
G5
G6
G7
Gm
Gm7
Gsus2
Gsus4
Gadd9
G7sus2
G7sus4
G
G5
G6
G7
Gm
Gm7
Gsus2
Gsus4
Gadd9
G7sus2
G7sus4
